cms_id,fyear,system,prov_type,own_type,cbsa,urban_rural
100070,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),Rural Florida,Urban
100071,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Church,"Tampa-St. Petersburg-Clearwater, FL",Urban
100072,2017,ADVENTIST HEALTH SYSTEM,Short-Term,Church,"Deltona-Daytona Beach-Ormond Beach, FL",Urban
100073,2018,TRINITY HEALTH,Short-Term,Church,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",Urban
100075,2017,TRINITY HEALTH,Short-Term,Church,"Tampa-St. Petersburg-Clearwater, FL",Urban
100077,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),"Punta Gorda, FL",Urban
100079,2018,UNIVERSITY OF MIAMI,Short-Term,Other,"Miami-Miami Beach-Kendall, FL",Urban
100080,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"West Palm Beach-Boca Raton-Delray Beach, FL",Urban
100081,2018,,Short-Term,Private (For Profit),"Crestview-Fort Walton Beach-Destin, FL",Urban
100084,2018,CENTRAL FLORIDA HEALTH ALLIANCE,Short-Term,Private (Not For Profit),"Orlando-Kissimmee-Sanford, FL",Urban
100087,2018,,Short-Term,Hospital District or Authority,Rural Florida,Urban
100086,2018,BROWARD HEALTH,Short-Term,Hospital District or Authority,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",Urban
100088,2018,BAPTIST HEALTH,Short-Term,Private (Not For Profit),"Jacksonville, FL",Urban
100090,2018,,Short-Term,Private (Not For Profit),"Jacksonville, FL",Urban
100092,2018,STEWARD HEALTH CARE SYSTEM,Short-Term,Private (Not For Profit),"Palm Bay-Melbourne-Titusville, FL",Urban
100093,2018,BAPTIST HEALTH CARE,Short-Term,Private (Not For Profit),"Pensacola-Ferry Pass-Brent, FL",Urban
100099,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),"Lakeland-Winter Haven, FL",Urban
100102,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (Not For Profit),Rural Florida,Rural
100105,2018,,Short-Term,Hospital District or Authority,"Sebastian-Vero Beach, FL",Urban
100106,2018,,Short-Term,Private (Not For Profit),Rural Florida,Rural
100107,2018,PRIME HEALTHCARE SERVICES,Short-Term,Private (Not For Profit),"Cape Coral-Fort Myers, FL",Urban
100109,2017,ADVENTIST HEALTH SYSTEM,Short-Term,Church,"Sebring, FL",Urban
100110,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Orlando-Kissimmee-Sanford, FL",Urban
100113,2018,UNIVERSITY OF FLORIDA HEALTH,Short-Term,Private (Not For Profit),"Gainesville, FL",Urban
100117,2018,BAPTIST HEALTH,Short-Term,Private (Not For Profit),"Jacksonville, FL",Urban
100118,2018,ADVENTIST HEALTH SYSTEM,Short-Term,Church,"Deltona-Daytona Beach-Ormond Beach, FL",Urban
100121,2018,TRINITY HEALTH,Short-Term,Private (For Profit),"Lakeland-Winter Haven, FL",Urban
100122,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (Not For Profit),Rural Florida,Urban
100124,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),"Pensacola-Ferry Pass-Brent, FL",Urban
100125,2018,BAPTIST HEALTH SOUTH FLORIDA,Short-Term,Private (Not For Profit),"Miami-Miami Beach-Kendall, FL",Urban
100126,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
100127,2017,TRINITY HEALTH,Short-Term,Private (Not For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
100128,2018,,Short-Term,Private (Not For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
100130,2018,,Short-Term,Hospital District or Authority,"West Palm Beach-Boca Raton-Delray Beach, FL",Urban
100131,2018,HCA HEALTHCARE,Short-Term,Private (Not For Profit),"Miami-Miami Beach-Kendall, FL",Urban
100132,2018,TRINITY HEALTH,Short-Term,Private (Not For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
100134,2018,,Short-Term,Hospital District or Authority,"Jacksonville, FL",Urban
100135,2018,,Short-Term,Private (Not For Profit),"Tallahassee, FL",Urban
100137,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),"Lakeland-Winter Haven, FL",Urban
100142,2018,,Short-Term,Hospital District or Authority,Rural Florida,Rural
100150,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),Rural Florida,Rural
100151,2018,MAYO CLINIC HEALTH SYSTEM,Short-Term,Private (Not For Profit),"Jacksonville, FL",Urban
100154,2018,BAPTIST HEALTH SOUTH FLORIDA,Short-Term,Private (Not For Profit),"Miami-Miami Beach-Kendall, FL",Urban
100157,2018,,Short-Term,Private (Not For Profit),"Lakeland-Winter Haven, FL",Urban
100156,2018,HCA HEALTHCARE,Short-Term,Private (Not For Profit),Rural Florida,Rural
100161,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Orlando-Kissimmee-Sanford, FL",Urban
100166,2017,HCA HEALTHCARE,Short-Term,Private (For Profit),Rural Florida,Urban
100167,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",Urban
100168,2018,,Short-Term,Private (Not For Profit),"West Palm Beach-Boca Raton-Delray Beach, FL",Urban
100173,2018,ADVENTIST HEALTH SYSTEM,Short-Term,Private (Not For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
100176,2018,TENET HEALTHCARE,Short-Term,Private (For Profit),"West Palm Beach-Boca Raton-Delray Beach, FL",Urban
100175,2018,,Short-Term,Private (Not For Profit),Rural Florida,Rural
100179,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Jacksonville, FL",Urban
100177,2018,HEALTH FIRST,Short-Term,Private (Not For Profit),"Palm Bay-Melbourne-Titusville, FL",Urban
101303,2017,,Critical Access Hospitals,Private (For Profit),Rural Florida,Rural
100180,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
100181,2018,LARKIN COMMUNITY HOSPITAL HEALTH SYSTEM,Short-Term,Private (For Profit),"Miami-Miami Beach-Kendall, FL",Urban
100183,2018,TENET HEALTHCARE,Short-Term,Private (For Profit),"Miami-Miami Beach-Kendall, FL",Urban
100187,2017,TENET HEALTHCARE,Short-Term,Private (For Profit),"Miami-Miami Beach-Kendall, FL",Urban
100189,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",Urban
100191,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
100200,2018,BROWARD HEALTH,Short-Term,Hospital District or Authority,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",Urban
100204,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Gainesville, FL",Urban
100206,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
100209,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Miami-Miami Beach-Kendall, FL",Urban
100211,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
100212,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Ocala, FL",Urban
100213,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),Rural Florida,Urban
100217,2018,STEWARD HEALTH CARE SYSTEM,Short-Term,Private (For Profit),"Sebastian-Vero Beach, FL",Urban
100220,2018,LEE HEALTH,Short-Term,Hospital District or Authority,"Cape Coral-Fort Myers, FL",Urban
100223,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),Rural Florida,Urban
100224,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",Urban
100226,2018,HCA HEALTHCARE,Short-Term,Other,"Jacksonville, FL",Urban
100228,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",Urban
100242,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Panama City, FL",Urban
100230,2018,MEMORIAL HEALTHCARE SYSTEM,Short-Term,Hospital District or Authority,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",Urban
100231,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Pensacola-Ferry Pass-Brent, FL",Urban
100232,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),Rural Florida,Rural
100234,2016,HCA HEALTHCARE,Short-Term,Private (For Profit),"West Palm Beach-Boca Raton-Delray Beach, FL",Urban
100236,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Punta Gorda, FL",Urban
100238,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
100240,2017,UNIVERSITY OF MIAMI HEALTH SYSTEM,Short-Term,Private (Not For Profit),"Miami-Miami Beach-Kendall, FL",Urban
100243,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
100244,2018,LEE HEALTH,Short-Term,Hospital District or Authority,"Cape Coral-Fort Myers, FL",Urban
100246,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Port St. Lucie, FL",Urban
100248,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
100249,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),"Homosassa Springs, FL",Urban
100252,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),Rural Florida,Rural
100253,2018,,Short-Term,Private (Not For Profit),"West Palm Beach-Boca Raton-Delray Beach, FL",Urban
100254,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Tallahassee, FL",Urban
100255,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
100256,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
100258,2018,TENET HEALTHCARE,Short-Term,Private (For Profit),"West Palm Beach-Boca Raton-Delray Beach, FL",Urban
100259,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
100260,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Port St. Lucie, FL",Urban
100264,2018,HCA HEALTHCARE,Short-Term,Other,"Tampa-St. Petersburg-Clearwater, FL",Urban
100265,2018,TRINITY HEALTH,Short-Term,Private (Not For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
100266,2018,BAPTIST HEALTH CARE,Short-Term,Other,"Pensacola-Ferry Pass-Brent, FL",Urban
100267,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),Rural Florida,Urban
100268,2018,TENET HEALTHCARE,Short-Term,Private (For Profit),"West Palm Beach-Boca Raton-Delray Beach, FL",Urban
100269,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"West Palm Beach-Boca Raton-Delray Beach, FL",Urban
100271,2018,,Short-Term,Private (Not For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
100275,2018,UNIVERSAL HEALTH SERVICES,Short-Term,Private (For Profit),"West Palm Beach-Boca Raton-Delray Beach, FL",Urban
100276,2018,BROWARD HEALTH,Short-Term,Hospital District or Authority,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",Urban
100298,2018,FLORIDA DEPARTMENT OF CHILDREN AND FAMILIES,Short-Term,State,"Tallahassee, FL",Urban
100277,2018,,Short-Term,Private (Not For Profit),"Miami-Miami Beach-Kendall, FL",Urban
100281,2018,MEMORIAL HEALTHCARE SYSTEM,Short-Term,Hospital District or Authority,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",Urban
100284,2017,,Short-Term,Private (For Profit),"Miami-Miami Beach-Kendall, FL",Urban
100285,2018,MEMORIAL HEALTHCARE SYSTEM,Short-Term,Hospital District or Authority,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",Urban
100286,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),"Naples-Immokalee-Marco Island, FL",Urban
100287,2018,TENET HEALTHCARE,Short-Term,Private (For Profit),"West Palm Beach-Boca Raton-Delray Beach, FL",Urban
100288,2018,TENET HEALTHCARE,Short-Term,Private (For Profit),"West Palm Beach-Boca Raton-Delray Beach, FL",Urban
100289,2018,CLEVELAND CLINIC HEALTH SYSTEM,Short-Term,Private (For Profit),"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",Urban
100290,2018,CENTRAL FLORIDA HEALTH ALLIANCE,Short-Term,Private (Not For Profit),"The Villages, FL",Urban
100291,2018,STEWARD HEALTH CARE SYSTEM,Short-Term,Private (For Profit),"Palm Bay-Melbourne-Titusville, FL",Urban
100292,2018,ASCENSION HEALTH,Short-Term,Other,"Crestview-Fort Walton Beach-Destin, FL",Urban
100296,2018,BAPTIST HEALTH SOUTH FLORIDA,Short-Term,Other,"Miami-Miami Beach-Kendall, FL",Urban
100299,2018,UNIVERSAL HEALTH SERVICES,Short-Term,Private (For Profit),Rural Florida,Urban
100302,2018,ORLANDO HEALTH,Short-Term,Private (For Profit),"Orlando-Kissimmee-Sanford, FL",Urban
100307,2018,ASCENSION HEALTH,Short-Term,Private (Not For Profit),"Jacksonville, FL",Urban
100313,2018,ASCENSION HEALTH,Short-Term,Private (Not For Profit),"Panama City, FL",Urban
100314,2018,BAPTIST HEALTH SOUTH FLORIDA,Short-Term,Private (Not For Profit),"Miami-Miami Beach-Kendall, FL",Urban
100315,2018,HEALTH FIRST,Short-Term,Private (Not For Profit),"Palm Bay-Melbourne-Titusville, FL",Urban
100316,2018,HEALTH FIRST,Short-Term,Private (For Profit),"Palm Bay-Melbourne-Titusville, FL",Urban
100320,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Orlando-Kissimmee-Sanford, FL",Urban
100319,2018,ADVENTIST HEALTH SYSTEM,Short-Term,Private (Not For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
100321,2018,ASCENSION HEALTH,Short-Term,Private (Not For Profit),"Jacksonville, FL",Urban
100322,2018,,Short-Term,Private (For Profit),Rural Florida,Rural
100324,2015,PROMISE HEALTHCARE  INC.,Short-Term,Private (For Profit),"Cape Coral-Fort Myers, FL",Urban
100325,2015,NAME  SELECT MEDICAL,Short-Term,Private (For Profit),"Deltona-Daytona Beach-Ormond Beach, FL",Urban
100329,2018,HCA,Short-Term,Private (For Profit),"Orlando-Kissimmee-Sanford, FL",Urban
100326,2016,PROMISE HEALTHCARE  INC.,Short-Term,Private (For Profit),"Miami-Miami Beach-Kendall, FL",Urban
100327,2016,,Short-Term,Private (For Profit),"Naples-Immokalee-Marco Island, FL",Urban
101300,2018,ADVENTIST HEALTH SYSTEM,Critical Access Hospitals,Private (Not For Profit),Rural Florida,Rural
101301,2018,COMMUNITY HEALTH SYSTEMS,Critical Access Hospitals,Private (For Profit),Rural Florida,Rural
101304,2017,ALLIANT MANAGEMENT SERVICES,Critical Access Hospitals,Private (Not For Profit),Rural Florida,Rural
101305,2018,,Critical Access Hospitals,Local,Rural Florida,Rural
101307,2018,,Critical Access Hospitals,Hospital District or Authority,Rural Florida,Rural
100328,2017,,Short-Term,Private (For Profit),"Miami-Miami Beach-Kendall, FL",Urban
101302,2015,,Critical Access Hospitals,State,Rural Florida,Rural
101308,2018,,Critical Access Hospitals,Private (Not For Profit),Rural Florida,Rural
101309,2018,,Critical Access Hospitals,Other,Rural Florida,Rural
101310,2018,COMMUNITY HEALTH SYSTEMS,Critical Access Hospitals,Private (For Profit),Rural Florida,Rural
101311,2018,,Critical Access Hospitals,Hospital District or Authority,Rural Florida,Rural
101312,2018,BAPTIST HEALTH SOUTH FLORIDA,Critical Access Hospitals,Private (Not For Profit),Rural Florida,Rural
101313,2018,BAPTIST HEALTH SOUTH FLORIDA,Critical Access Hospitals,Private (Not For Profit),Rural Florida,Rural
102001,2018,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (For Profit),"Miami-Miami Beach-Kendall, FL",Urban
101993,2018,,Other Hospital Types,Church,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",Urban
102009,2018,KINDRED HEALTHCARE,Long-Term Hospitals,Private (For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
102010,2018,KINDRED HEALTHCARE,Long-Term Hospitals,Private (For Profit),"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",Urban
102012,2018,HCA HEALTHCARE,Long-Term Hospitals,Private (For Profit),"Jacksonville, FL",Urban
102013,2018,KINDRED HEALTHCARE,Long-Term Hospitals,Private (For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
102015,2018,KINDRED HEALTHCARE,Long-Term Hospitals,Private (For Profit),"Jacksonville, FL",Urban
102016,2018,HCA HEALTHCARE,Long-Term Hospitals,Private (For Profit),"Miami-Miami Beach-Kendall, FL",Urban
102003,2018,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (For Profit),"Orlando-Kissimmee-Sanford, FL",Urban
102017,2018,SELECT MEDICAL CORPORATION,Long-Term Hospitals,State,"Panama City, FL",Urban
102018,2018,NEW LIFECARE MANAGEMENT SERVICES,Long-Term Hospitals,Other,Rural Florida,Urban
102019,2018,KINDRED HEALTHCARE,Long-Term Hospitals,Private (For Profit),"Ocala, FL",Urban
102020,2018,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (For Profit),"Tallahassee, FL",Urban
102021,2018,TRINITY HEALTH,Long-Term Hospitals,Private (Not For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
102022,2018,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (For Profit),"Gainesville, FL",Urban
102023,2018,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (For Profit),"West Palm Beach-Boca Raton-Delray Beach, FL",Urban
102024,2018,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (For Profit),"Pensacola-Ferry Pass-Brent, FL",Urban
102025,2018,KINDRED HEALTHCARE,Long-Term Hospitals,Private (For Profit),"West Palm Beach-Boca Raton-Delray Beach, FL",Urban
102026,2018,ADVENTIST HEALTH SYSTEM,Long-Term Hospitals,Private (For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
102027,2018,KINDRED HEALTHCARE,Long-Term Hospitals,Private (For Profit),"Palm Bay-Melbourne-Titusville, FL",Urban
102028,2018,PROMISE HEALTHCARE  INC.,Long-Term Hospitals,Private (For Profit),"The Villages, FL",Urban
102029,2018,PROMISE HEALTHCARE  INC.,Long-Term Hospitals,Private (For Profit),"Cape Coral-Fort Myers, FL",Urban
102031,2018,PROMISE HEALTHCARE  INC.,Long-Term Hospitals,Private (For Profit),"Miami-Miami Beach-Kendall, FL",Urban
102030,2018,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (For Profit),"Deltona-Daytona Beach-Ormond Beach, FL",Urban
102032,2018,,Long-Term Hospitals,Private (For Profit),"Naples-Immokalee-Marco Island, FL",Urban
103026,2018,CATHOLIC HEALTH SERVICES INC,Rehabilitation Hospitals,Private (Not For Profit),"Miami-Miami Beach-Kendall, FL",Urban
103027,2018,CATHOLIC HEALTH SERVICES INC,Rehabilitation Hospitals,Church,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",Urban
103028,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",Urban
103031,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),Rural Florida,Urban
103032,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Sebastian-Vero Beach, FL",Urban
103033,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Tallahassee, FL",Urban
103034,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Palm Bay-Melbourne-Titusville, FL",Urban
103038,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Miami-Miami Beach-Kendall, FL",Urban
103037,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
103039,2018,BROOKS HEALTH SYSTEM,Rehabilitation Hospitals,Private (Not For Profit),"Jacksonville, FL",Urban
103036,2018,SELECT MEDICAL CORPORATION,Rehabilitation Hospitals,Private (Not For Profit),"Miami-Miami Beach-Kendall, FL",Urban
103040,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Panama City, FL",Urban
103042,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
103043,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Ocala, FL",Urban
103044,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Port St. Lucie, FL",Urban
103045,2017,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Orlando-Kissimmee-Sanford, FL",Urban
103300,2018,JOHNS HOPKINS HEALTH SYSTEM,Childrens Hospitals,Other,"Tampa-St. Petersburg-Clearwater, FL",Urban
103301,2017,,Childrens Hospitals,Private (Not For Profit),"Miami-Miami Beach-Kendall, FL",Urban
103303,2017,,Childrens Hospitals,Other,"Tampa-St. Petersburg-Clearwater, FL",Urban
103304,2018,NEMOURS HOME OFFICE,Childrens Hospitals,Private (Not For Profit),"Orlando-Kissimmee-Sanford, FL",Urban
104001,2018,,Psychiatric Hospitals,State,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",Urban
104007,2018,,Psychiatric Hospitals,State,"Jacksonville, FL",Urban
104008,2018,,Psychiatric Hospitals,Private (Not For Profit),"West Palm Beach-Boca Raton-Delray Beach, FL",Urban
104016,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (For Profit),"Jacksonville, FL",Urban
104017,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
104018,2018,,Psychiatric Hospitals,Private (Not For Profit),"Orlando-Kissimmee-Sanford, FL",Urban
104024,2018,,Psychiatric Hospitals,Private (Not For Profit),"Palm Bay-Melbourne-Titusville, FL",Urban
104026,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (For Profit),"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",Urban
104027,2018,,Psychiatric Hospitals,State,"Pensacola-Ferry Pass-Brent, FL",Urban
104040,2018,,Psychiatric Hospitals,Private (Not For Profit),Rural Florida,Urban
104049,2017,,Psychiatric Hospitals,Private (For Profit),"Miami-Miami Beach-Kendall, FL",Urban
104057,2018,OGLETHORPE INC.,Psychiatric Hospitals,Private (Not For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
104063,2018,OGLETHORPE INC.,Psychiatric Hospitals,Private (For Profit),"Naples-Immokalee-Marco Island, FL",Urban
104059,2018,,Psychiatric Hospitals,Private (Not For Profit),"Tallahassee, FL",Urban
104065,2017,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (For Profit),"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",Urban
104067,2018,,Psychiatric Hospitals,Private (Not For Profit),"Orlando-Kissimmee-Sanford, FL",Urban
104068,2018,,Psychiatric Hospitals,Local,"Ocala, FL",Urban
104069,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (For Profit),"Jacksonville, FL",Urban
104070,2018,OGLETHORPE INC,Psychiatric Hospitals,Private (For Profit),"Port St. Lucie, FL",Urban
104071,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (For Profit),"Gainesville, FL",Urban
104072,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (For Profit),"Orlando-Kissimmee-Sanford, FL",Urban
104073,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (For Profit),"Panama City, FL",Urban
104074,2018,ACADIA HEALTHCARE,Psychiatric Hospitals,Private (For Profit),"Cape Coral-Fort Myers, FL",Urban
104075,2018,ACADIA HEALTHCARE,Psychiatric Hospitals,Private (Not For Profit),"Tampa-St. Petersburg-Clearwater, FL",Urban
104079,2018,,Psychiatric Hospitals,Private (For Profit),"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",Urban
104076,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (Not For Profit),"Orlando-Kissimmee-Sanford, FL",Urban
104080,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Other,"Port St. Lucie, FL",Urban
110001,2018,,Short-Term,Private (Not For Profit),"Dalton, GA",Urban
104078,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (For Profit),Rural Florida,Urban
110002,2017,,Short-Term,Other,Rural Georgia,Rural
110003,2017,HCA HEALTHCARE,Short-Term,Private (Not For Profit),Rural Georgia,Rural
110005,2018,NORTHSIDE HOSPITAL SYSTEM,Short-Term,Private (Not For Profit),"Atlanta-Sandy Springs-Roswell, GA",Urban
110004,2016,,Short-Term,Hospital District or Authority,"Chattanooga, TN-GA",Urban
110006,2018,TRINITY HEALTH,Short-Term,Private (Not For Profit),"Athens-Clarke County, GA",Urban
110007,2018,PHOEBE PUTNEY HEALTH SYSTEM,Short-Term,Hospital District or Authority,"Albany, GA",Urban
110008,2018,NORTHSIDE HOSPITAL SYSTEM,Short-Term,Other,"Atlanta-Sandy Springs-Roswell, GA",Urban
110010,2018,EMORY HEALTHCARE,Short-Term,Private (Not For Profit),"Atlanta-Sandy Springs-Roswell, GA",Urban
110011,2018,TANNER HEALTH SYSTEM,Short-Term,Hospital District or Authority,"Atlanta-Sandy Springs-Roswell, GA",Urban
110015,2018,TANNER HEALTH SYSTEM,Short-Term,Hospital District or Authority,"Atlanta-Sandy Springs-Roswell, GA",Urban
110016,2018,WELLSTAR HEALTH SYSTEM,Short-Term,Private (Not For Profit),Rural Georgia,Rural
110018,2018,PIEDMONT HEALTHCARE SYSTEM,Short-Term,Private (Not For Profit),"Atlanta-Sandy Springs-Roswell, GA",Urban
110023,2018,ADVENTIST HEALTH SYSTEM,Short-Term,Church,Rural Georgia,Rural
110024,2018,ST JOSEPHS / CANDLER,Short-Term,Other,"Savannah, GA",Urban
110025,2018,SOUTHEAST GEORGIA HEALTH SYSTEM,Short-Term,Hospital District or Authority,"Brunswick, GA",Urban
110026,2018,CAROLINAS HEALTHCARE SYSTEM,Short-Term,Hospital District or Authority,Rural Georgia,Rural
110027,2018,TRINITY HEALTH,Short-Term,Private (Not For Profit),Rural Georgia,Rural
110028,2017,UNIVERSITY HEALTH CARE SYSTEM,Short-Term,Other,"Augusta-Richmond County, GA-SC",Urban
110029,2018,NORTHEAST GEORGIA HEALTH SYSTEM,Short-Term,Local,"Gainesville, GA",Urban
110031,2018,WELLSTAR HEALTH SYSTEM,Short-Term,Private (For Profit),"Atlanta-Sandy Springs-Roswell, GA",Urban
110030,2018,HCA HEALTHCARE,Short-Term,Private (Not For Profit),"Atlanta-Sandy Springs-Roswell, GA",Urban
110032,2018,,Short-Term,Hospital District or Authority,Rural Georgia,Rural
110034,2018,,Short-Term,Other,"Augusta-Richmond County, GA-SC",Urban
110035,2018,WELLSTAR HEALTH SYSTEM,Short-Term,Hospital District or Authority,"Atlanta-Sandy Springs-Roswell, GA",Urban
110036,2018,,Short-Term,Other,"Savannah, GA",Urban
110038,2018,ARCHBOLD MEDICAL CENTER,Short-Term,Private (Not For Profit),Rural Georgia,Rural
110039,2017,UNIVERSITY HEALTH CARE SYSTEM,Short-Term,Private (For Profit),"Augusta-Richmond County, GA-SC",Urban
